comments,duration,languages,name,ratings,tags,title,views
79,1414,27,Cameron Sinclair: My wish: A call for open-source architecture,"[{'id': 3, 'name': 'Courageous', 'count': 169}, {'id': 9, 'name': 'Ingenious', 'count': 258}, {'id': 7, 'name': 'Funny', 'count': 18}, {'id': 8, 'name': 'Informative', 'count': 187}, {'id': 10, 'name': 'Inspiring', 'count': 608}, {'id': 22, 'name': 'Fascinating', 'count': 148}, {'id': 1, 'name': 'Beautiful', 'count': 51}, {'id': 11, 'name': 'Longwinded', 'count': 34}, {'id': 21, 'name': 'Unconvincing', 'count': 21}, {'id': 2, 'name': 'Confusing', 'count': 14}, {'id': 24, 'name': 'Persuasive', 'count': 160}, {'id': 23, 'name': 'Jaw-dropping', 'count': 66}, {'id': 26, 'name': 'Obnoxious', 'count': 7}, {'id': 25, 'name': 'OK', 'count': 39}]","['activism', 'architecture', 'collaboration', 'culture', 'design', 'disaster relief', 'global issues', 'invention', 'open-source', 'philanthropy']",My wish: A call for open-source architecture,1211416
55,1538,20,Jehane Noujaim: My wish: A global day of film,"[{'id': 1, 'name': 'Beautiful', 'count': 70}, {'id': 3, 'name': 'Courageous', 'count': 96}, {'id': 11, 'name': 'Longwinded', 'count': 16}, {'id': 9, 'name': 'Ingenious', 'count': 20}, {'id': 7, 'name': 'Funny', 'count': 5}, {'id': 10, 'name': 'Inspiring', 'count': 201}, {'id': 8, 'name': 'Informative', 'count': 33}, {'id': 21, 'name': 'Unconvincing', 'count': 14}, {'id': 22, 'name': 'Fascinating', 'count': 41}, {'id': 2, 'name': 'Confusing', 'count': 7}, {'id': 24, 'name': 'Persuasive', 'count': 42}, {'id': 23, 'name': 'Jaw-dropping', 'count': 20}, {'id': 25, 'name': 'OK', 'count': 26}, {'id': 26, 'name': 'Obnoxious', 'count': 1}]","['TED Prize', 'art', 'culture', 'entertainment', 'film', 'global issues', 'movies', 'peace', 'social change', 'storytelling']",My wish: A global day of film,387877
71,1550,24,Larry Brilliant: My wish: Help me stop pandemics,"[{'id': 8, 'name': 'Informative', 'count': 188}, {'id': 3, 'name': 'Courageous', 'count': 86}, {'id': 11, 'name': 'Longwinded', 'count': 9}, {'id': 1, 'name': 'Beautiful', 'count': 16}, {'id': 10, 'name': 'Inspiring', 'count': 240}, {'id': 22, 'name': 'Fascinating', 'count': 83}, {'id': 9, 'name': 'Ingenious', 'count': 57}, {'id': 23, 'name': 'Jaw-dropping', 'count': 70}, {'id': 24, 'name': 'Persuasive', 'count': 111}, {'id': 25, 'name': 'OK', 'count': 11}, {'id': 21, 'name': 'Unconvincing', 'count': 5}, {'id': 26, 'name': 'Obnoxious', 'count': 5}, {'id': 2, 'name': 'Confusing', 'count': 2}, {'id': 7, 'name': 'Funny', 'count': 3}]","['TED Prize', 'collaboration', 'disease', 'ebola', 'global issues', 'health', 'science', 'technology']",My wish: Help me stop pandemics,693341
242,527,27,Jeff Han: The radical promise of the multi-touch interface,"[{'id': 9, 'name': 'Ingenious', 'count': 1014}, {'id': 1, 'name': 'Beautiful', 'count': 277}, {'id': 3, 'name': 'Courageous', 'count': 34}, {'id': 11, 'name': 'Longwinded', 'count': 55}, {'id': 7, 'name': 'Funny', 'count': 104}, {'id': 2, 'name': 'Confusing', 'count': 19}, {'id': 21, 'name': 'Unconvincing', 'count': 32}, {'id': 8, 'name': 'Informative', 'count': 461}, {'id': 10, 'name': 'Inspiring', 'count': 471}, {'id': 22, 'name': 'Fascinating', 'count': 919}, {'id': 23, 'name': 'Jaw-dropping', 'count': 4643}, {'id': 24, 'name': 'Persuasive', 'count': 77}, {'id': 26, 'name': 'Obnoxious', 'count': 23}, {'id': 25, 'name': 'OK', 'count': 188}]","['demo', 'design', 'interface design', 'technology']",The radical promise of the multi-touch interface,4531020
99,1057,25,Nicholas Negroponte: One Laptop per Child,"[{'id': 3, 'name': 'Courageous', 'count': 83}, {'id': 9, 'name': 'Ingenious', 'count': 89}, {'id': 11, 'name': 'Longwinded', 'count': 20}, {'id': 1, 'name': 'Beautiful', 'count': 32}, {'id': 8, 'name': 'Informative', 'count': 104}, {'id': 10, 'name': 'Inspiring', 'count': 216}, {'id': 22, 'name': 'Fascinating', 'count': 67}, {'id': 7, 'name': 'Funny', 'count': 14}, {'id': 21, 'name': 'Unconvincing', 'count': 31}, {'id': 2, 'name': 'Confusing', 'count': 6}, {'id': 25, 'name': 'OK', 'count': 30}, {'id': 24, 'name': 'Persuasive', 'count': 49}, {'id': 23, 'name': 'Jaw-dropping', 'count': 29}, {'id': 26, 'name': 'Obnoxious', 'count': 11}]","['children', 'design', 'education', 'entrepreneur', 'global issues', 'philanthropy', 'social change', 'technology']",One Laptop per Child,358304
325,1481,31,Sirena Huang: An 11-year-old's magical violin,"[{'id': 1, 'name': 'Beautiful', 'count': 1671}, {'id': 9, 'name': 'Ingenious', 'count': 190}, {'id': 7, 'name': 'Funny', 'count': 190}, {'id': 11, 'name': 'Longwinded', 'count': 29}, {'id': 3, 'name': 'Courageous', 'count': 143}, {'id': 10, 'name': 'Inspiring', 'count': 879}, {'id': 22, 'name': 'Fascinating', 'count': 635}, {'id': 8, 'name': 'Informative', 'count': 22}, {'id': 2, 'name': 'Confusing', 'count': 10}, {'id': 23, 'name': 'Jaw-dropping', 'count': 2280}, {'id': 25, 'name': 'OK', 'count': 95}, {'id': 24, 'name': 'Persuasive', 'count': 41}, {'id': 26, 'name': 'Obnoxious', 'count': 39}, {'id': 21, 'name': 'Unconvincing', 'count': 15}]","['entertainment', 'music', 'performance', 'violin', 'wunderkind', 'youth']",An 11-year-old's magical violin,2702470
305,1445,32,"Jennifer Lin: Improvising on piano, aged 14","[{'id': 1, 'name': 'Beautiful', 'count': 1107}, {'id': 3, 'name': 'Courageous', 'count': 85}, {'id': 9, 'name': 'Ingenious', 'count': 197}, {'id': 2, 'name': 'Confusing', 'count': 22}, {'id': 11, 'name': 'Longwinded', 'count': 35}, {'id': 10, 'name': 'Inspiring', 'count': 552}, {'id': 22, 'name': 'Fascinating', 'count': 454}, {'id': 21, 'name': 'Unconvincing', 'count': 53}, {'id': 23, 'name': 'Jaw-dropping', 'count': 1997}, {'id': 25, 'name': 'OK', 'count': 68}, {'id': 8, 'name': 'Informative', 'count': 32}, {'id': 24, 'name': 'Persuasive', 'count': 22}, {'id': 7, 'name': 'Funny', 'count': 24}, {'id': 26, 'name': 'Obnoxious', 'count': 31}]","['creativity', 'entertainment', 'music', 'performance', 'piano', 'wunderkind']","Improvising on piano, aged 14",1628912
88,906,27,Amy Smith: Simple designs to save a life,"[{'id': 9, 'name': 'Ingenious', 'count': 321}, {'id': 3, 'name': 'Courageous', 'count': 150}, {'id': 1, 'name': 'Beautiful', 'count': 67}, {'id': 8, 'name': 'Informative', 'count': 279}, {'id': 10, 'name': 'Inspiring', 'count': 515}, {'id': 22, 'name': 'Fascinating', 'count': 159}, {'id': 21, 'name': 'Unconvincing', 'count': 13}, {'id': 7, 'name': 'Funny', 'count': 21}, {'id': 11, 'name': 'Longwinded', 'count': 19}, {'id': 24, 'name': 'Persuasive', 'count': 140}, {'id': 25, 'name': 'OK', 'count': 30}, {'id': 23, 'name': 'Jaw-dropping', 'count': 63}, {'id': 26, 'name': 'Obnoxious', 'count': 4}, {'id': 2, 'name': 'Confusing', 'count': 7}]","['MacArthur grant', 'alternative energy', 'design', 'engineering', 'global issues', 'industrial design', 'invention', 'simplicity']",Simple designs to save a life,1415724
163,1170,22,"Ross Lovegrove: Organic design, inspired by nature","[{'id': 1, 'name': 'Beautiful', 'count': 259}, {'id': 7, 'name': 'Funny', 'count': 49}, {'id': 9, 'name': 'Ingenious', 'count': 185}, {'id': 2, 'name': 'Confusing', 'count': 80}, {'id': 3, 'name': 'Courageous', 'count': 79}, {'id': 11, 'name': 'Longwinded', 'count': 119}, {'id': 21, 'name': 'Unconvincing', 'count': 113}, {'id': 8, 'name': 'Informative', 'count': 71}, {'id': 10, 'name': 'Inspiring', 'count': 363}, {'id': 22, 'name': 'Fascinating', 'count': 220}, {'id': 23, 'name': 'Jaw-dropping', 'count': 93}, {'id': 26, 'name': 'Obnoxious', 'count': 210}, {'id': 25, 'name': 'OK', 'count': 68}, {'id': 24, 'name': 'Persuasive', 'count': 22}]","['DNA', 'biology', 'creativity', 'design', 'industrial design', 'invention', 'nature', 'product design', 'science and art']","Organic design, inspired by nature",1074081
84,1201,32,Jimmy Wales: The birth of Wikipedia,"[{'id': 1, 'name': 'Beautiful', 'count': 104}, {'id': 2, 'name': 'Confusing', 'count': 13}, {'id': 11, 'name': 'Longwinded', 'count': 46}, {'id': 9, 'name': 'Ingenious', 'count': 170}, {'id': 3, 'name': 'Courageous', 'count': 63}, {'id': 8, 'name': 'Informative', 'count': 478}, {'id': 10, 'name': 'Inspiring', 'count': 277}, {'id': 22, 'name': 'Fascinating', 'count': 181}, {'id': 7, 'name': 'Funny', 'count': 19}, {'id': 24, 'name': 'Persuasive', 'count': 73}, {'id': 25, 'name': 'OK', 'count': 68}, {'id': 26, 'name': 'Obnoxious', 'count': 11}, {'id': 23, 'name': 'Jaw-dropping', 'count': 54}, {'id': 21, 'name': 'Unconvincing', 'count': 14}]","['business', 'collaboration', 'culture', 'invention', 'media', 'open-source', 'technology', 'wikipedia']",The birth of Wikipedia,1106561
108,1114,27,Richard Baraniuk: The birth of the open-source learning revolution,"[{'id': 9, 'name': 'Ingenious', 'count': 117}, {'id': 3, 'name': 'Courageous', 'count': 52}, {'id': 1, 'name': 'Beautiful', 'count': 22}, {'id': 7, 'name': 'Funny', 'count': 12}, {'id': 11, 'name': 'Longwinded', 'count': 30}, {'id': 8, 'name': 'Informative', 'count': 320}, {'id': 10, 'name': 'Inspiring', 'count': 258}, {'id': 22, 'name': 'Fascinating', 'count': 111}, {'id': 2, 'name': 'Confusing', 'count': 8}, {'id': 21, 'name': 'Unconvincing', 'count': 26}, {'id': 23, 'name': 'Jaw-dropping', 'count': 26}, {'id': 24, 'name': 'Persuasive', 'count': 120}, {'id': 25, 'name': 'OK', 'count': 69}, {'id': 26, 'name': 'Obnoxious', 'count': 6}]","['business', 'collaboration', 'culture', 'global issues', 'library', 'open-source', 'technology']",The birth of the open-source learning revolution,966439
185,1136,26,Ze Frank: Nerdcore comedy,"[{'id': 7, 'name': 'Funny', 'count': 2799}, {'id': 9, 'name': 'Ingenious', 'count': 387}, {'id': 3, 'name': 'Courageous', 'count': 75}, {'id': 1, 'name': 'Beautiful', 'count': 74}, {'id': 21, 'name': 'Unconvincing', 'count': 137}, {'id': 2, 'name': 'Confusing', 'count': 203}, {'id': 11, 'name': 'Longwinded', 'count': 266}, {'id': 10, 'name': 'Inspiring', 'count': 196}, {'id': 8, 'name': 'Informative', 'count': 61}, {'id': 22, 'name': 'Fascinating', 'count': 177}, {'id': 23, 'name': 'Jaw-dropping', 'count': 80}, {'id': 26, 'name': 'Obnoxious', 'count': 239}, {'id': 25, 'name': 'OK', 'count': 450}, {'id': 24, 'name': 'Persuasive', 'count': 20}]","['collaboration', 'comedy', 'community', 'culture', 'dance', 'demo', 'entertainment', 'humor', 'performance', 'software']",Nerdcore comedy,6141440
50,1006,20,Mena Trott: Meet the founder of the blog revolution,"[{'id': 8, 'name': 'Informative', 'count': 82}, {'id': 7, 'name': 'Funny', 'count': 106}, {'id': 10, 'name': 'Inspiring', 'count': 86}, {'id': 3, 'name': 'Courageous', 'count': 33}, {'id': 1, 'name': 'Beautiful', 'count': 54}, {'id': 11, 'name': 'Longwinded', 'count': 119}, {'id': 21, 'name': 'Unconvincing', 'count': 67}, {'id': 2, 'name': 'Confusing', 'count': 40}, {'id': 22, 'name': 'Fascinating', 'count': 34}, {'id': 9, 'name': 'Ingenious', 'count': 9}, {'id': 25, 'name': 'OK', 'count': 87}, {'id': 24, 'name': 'Persuasive', 'count': 23}, {'id': 26, 'name': 'Obnoxious', 'count': 41}, {'id': 23, 'name': 'Jaw-dropping', 'count': 3}]","['business', 'communication', 'community', 'culture', 'design', 'entertainment', 'software', 'storytelling']",Meet the founder of the blog revolution,518624
556,1407,33,"Helen Fisher: Why we love, why we cheat","[{'id': 7, 'name': 'Funny', 'count': 780}, {'id': 3, 'name': 'Courageous', 'count': 177}, {'id': 1, 'name': 'Beautiful', 'count': 864}, {'id': 9, 'name': 'Ingenious', 'count': 345}, {'id': 21, 'name': 'Unconvincing', 'count': 249}, {'id': 8, 'name': 'Informative', 'count': 2591}, {'id': 10, 'name': 'Inspiring', 'count': 1083}, {'id': 22, 'name': 'Fascinating', 'count': 2106}, {'id': 11, 'name': 'Longwinded', 'count': 245}, {'id': 2, 'name': 'Confusing', 'count': 115}, {'id': 24, 'name': 'Persuasive', 'count': 1513}, {'id': 25, 'name': 'OK', 'count': 394}, {'id': 23, 'name': 'Jaw-dropping', 'count': 207}, {'id': 26, 'name': 'Obnoxious', 'count': 111}]","['cognitive science', 'culture', 'evolution', 'gender', 'love', 'psychology', 'relationships', 'science']","Why we love, why we cheat",9260764
117,1225,23,Eve Ensler: Happiness in body and soul,"[{'id': 3, 'name': 'Courageous', 'count': 654}, {'id': 8, 'name': 'Informative', 'count': 154}, {'id': 7, 'name': 'Funny', 'count': 109}, {'id': 11, 'name': 'Longwinded', 'count': 31}, {'id': 21, 'name': 'Unconvincing', 'count': 27}, {'id': 9, 'name': 'Ingenious', 'count': 44}, {'id': 1, 'name': 'Beautiful', 'count': 342}, {'id': 2, 'name': 'Confusing', 'count': 13}, {'id': 10, 'name': 'Inspiring', 'count': 789}, {'id': 22, 'name': 'Fascinating', 'count': 144}, {'id': 24, 'name': 'Persuasive', 'count': 97}, {'id': 23, 'name': 'Jaw-dropping', 'count': 97}, {'id': 25, 'name': 'OK', 'count': 26}, {'id': 26, 'name': 'Obnoxious', 'count': 43}]","['culture', 'entertainment', 'gender', 'global issues', 'happiness', 'performance', 'storytelling', 'theater', 'women']",Happiness in body and soul,1131864
184,1140,29,David Deutsch: Chemical scum that dream of distant quasars,"[{'id': 9, 'name': 'Ingenious', 'count': 269}, {'id': 3, 'name': 'Courageous', 'count': 92}, {'id': 7, 'name': 'Funny', 'count': 131}, {'id': 2, 'name': 'Confusing', 'count': 42}, {'id': 1, 'name': 'Beautiful', 'count': 91}, {'id': 8, 'name': 'Informative', 'count': 446}, {'id': 10, 'name': 'Inspiring', 'count': 397}, {'id': 22, 'name': 'Fascinating', 'count': 515}, {'id': 11, 'name': 'Longwinded', 'count': 45}, {'id': 21, 'name': 'Unconvincing', 'count': 49}, {'id': 24, 'name': 'Persuasive', 'count': 1234}, {'id': 25, 'name': 'OK', 'count': 73}, {'id': 23, 'name': 'Jaw-dropping', 'count': 139}, {'id': 26, 'name': 'Obnoxious', 'count': 21}]","['climate change', 'cosmos', 'culture', 'environment', 'global issues', 'physics', 'science', 'technology', 'universe']",Chemical scum that dream of distant quasars,1096862
507,1316,36,Richard Dawkins: Why the universe seems so strange,"[{'id': 1, 'name': 'Beautiful', 'count': 333}, {'id': 3, 'name': 'Courageous', 'count': 112}, {'id': 7, 'name': 'Funny', 'count': 127}, {'id': 9, 'name': 'Ingenious', 'count': 417}, {'id': 2, 'name': 'Confusing', 'count': 42}, {'id': 11, 'name': 'Longwinded', 'count': 91}, {'id': 8, 'name': 'Informative', 'count': 653}, {'id': 10, 'name': 'Inspiring', 'count': 674}, {'id': 22, 'name': 'Fascinating', 'count': 1281}, {'id': 23, 'name': 'Jaw-dropping', 'count': 324}, {'id': 21, 'name': 'Unconvincing', 'count': 41}, {'id': 24, 'name': 'Persuasive', 'count': 367}, {'id': 25, 'name': 'OK', 'count': 93}, {'id': 26, 'name': 'Obnoxious', 'count': 39}]","['astronomy', 'biology', 'cognitive science', 'cosmos', 'evolution', 'physics', 'psychology', 'science']",Why the universe seems so strange,2885999
95,1275,25,Steven Levitt: The freakonomics of crack dealing,"[{'id': 7, 'name': 'Funny', 'count': 485}, {'id': 10, 'name': 'Inspiring', 'count': 43}, {'id': 21, 'name': 'Unconvincing', 'count': 19}, {'id': 11, 'name': 'Longwinded', 'count': 35}, {'id': 9, 'name': 'Ingenious', 'count': 175}, {'id': 1, 'name': 'Beautiful', 'count': 12}, {'id': 8, 'name': 'Informative', 'count': 532}, {'id': 3, 'name': 'Courageous', 'count': 93}, {'id': 22, 'name': 'Fascinating', 'count': 404}, {'id': 25, 'name': 'OK', 'count': 44}, {'id': 23, 'name': 'Jaw-dropping', 'count': 61}, {'id': 24, 'name': 'Persuasive', 'count': 109}, {'id': 2, 'name': 'Confusing', 'count': 7}, {'id': 26, 'name': 'Obnoxious', 'count': 17}]","['business', 'cities', 'culture', 'economics', 'narcotics', 'race']",The freakonomics of crack dealing,2863214
355,1050,37,"Malcolm Gladwell: Choice, happiness and spaghetti sauce","[{'id': 7, 'name': 'Funny', 'count': 1668}, {'id': 9, 'name': 'Ingenious', 'count': 1127}, {'id': 1, 'name': 'Beautiful', 'count': 333}, {'id': 11, 'name': 'Longwinded', 'count': 190}, {'id': 2, 'name': 'Confusing', 'count': 80}, {'id': 3, 'name': 'Courageous', 'count': 87}, {'id': 21, 'name': 'Unconvincing', 'count': 115}, {'id': 8, 'name': 'Informative', 'count': 2004}, {'id': 10, 'name': 'Inspiring', 'count': 1276}, {'id': 22, 'name': 'Fascinating', 'count': 2082}, {'id': 24, 'name': 'Persuasive', 'count': 1014}, {'id': 23, 'name': 'Jaw-dropping', 'count': 290}, {'id': 25, 'name': 'OK', 'count': 361}, {'id': 26, 'name': 'Obnoxious', 'count': 51}]","['business', 'choice', 'consumerism', 'culture', 'economics', 'food', 'marketing', 'media', 'storytelling']","Choice, happiness and spaghetti sauce",7023562
